index;GROUP;CODE;NAME;YEAR;DISEASE;DENOMINATOR;INCIDENCE_RATE
18308;WHO Regions;emr;Eastern Mediterranean Region;1993;DIPHTHERIA;per 1,000,000 total population;1,1
18309;WHO Regions;emr;Eastern Mediterranean Region;1993;POLIO;per 1,000,000 <15 population;15,3
18310;WHO Regions;emr;Eastern Mediterranean Region;1993;MEASLES;per 1,000,000 total population;134,3
18311;WHO Regions;emr;Eastern Mediterranean Region;1993;PERTUSSIS;per 1,000,000 total population;5,7
18340;WHO Regions;eur;European Region;1993;PERTUSSIS;per 1,000,000 total population;126,4
18341;WHO Regions;eur;European Region;1993;NTETANUS;per 1000 live births;0,0
18342;WHO Regions;eur;European Region;1993;YFEVER;per 1,000,000 total population;
18343;WHO Regions;eur;European Region;1993;MEASLES;per 1,000,000 total population;441,3
18344;WHO Regions;eur;European Region;1993;TTETANUS;per 1,000,000 total population;0,9
18345;WHO Regions;eur;European Region;1993;DIPHTHERIA;per 1,000,000 total population;22,9
18346;WHO Regions;eur;European Region;1993;POLIO;per 1,000,000 <15 population;1,1
19005;WHO Regions;sear;South-East Asia Region;1993;DIPHTHERIA;per 1,000,000 total population;5,7
19006;WHO Regions;sear;South-East Asia Region;1993;NTETANUS;per 1000 live births;0,2
19007;WHO Regions;sear;South-East Asia Region;1993;POLIO;per 1,000,000 <15 population;9,0
19008;WHO Regions;sear;South-East Asia Region;1993;YFEVER;per 1,000,000 total population;
19009;WHO Regions;sear;South-East Asia Region;1993;PERTUSSIS;per 1,000,000 total population;48,9
19010;WHO Regions;sear;South-East Asia Region;1993;TTETANUS;per 1,000,000 total population;18,1
19011;WHO Regions;sear;South-East Asia Region;1993;MEASLES;per 1,000,000 total population;101,6
19264;WHO Regions;wpr;Western Pacific Region;1993;YFEVER;per 1,000,000 total population;
19265;WHO Regions;wpr;Western Pacific Region;1993;PERTUSSIS;per 1,000,000 total population;12,5
19266;WHO Regions;wpr;Western Pacific Region;1993;MEASLES;per 1,000,000 total population;101,5
19267;WHO Regions;wpr;Western Pacific Region;1993;TTETANUS;per 1,000,000 total population;9,5
19268;WHO Regions;wpr;Western Pacific Region;1993;NTETANUS;per 1000 live births;0,2
19269;WHO Regions;wpr;Western Pacific Region;1993;DIPHTHERIA;per 1,000,000 total population;0,4
19270;WHO Regions;wpr;Western Pacific Region;1993;POLIO;per 1,000,000 <15 population;2,8
19313;WHO Regions;afr;African Region;1994;TTETANUS;per 1,000,000 total population;9,0
19314;WHO Regions;afr;African Region;1994;NTETANUS;per 1000 live births;0,2
19315;WHO Regions;afr;African Region;1994;DIPHTHERIA;per 1,000,000 total population;7,1
19316;WHO Regions;afr;African Region;1994;POLIO;per 1,000,000 <15 population;6,4
19317;WHO Regions;afr;African Region;1994;PERTUSSIS;per 1,000,000 total population;117,0
19318;WHO Regions;afr;African Region;1994;YFEVER;per 1,000,000 total population;7,1
19319;WHO Regions;afr;African Region;1994;MEASLES;per 1,000,000 total population;774,5
19334;WHO Regions;amr;Region of the Americas;1994;DIPHTHERIA;per 1,000,000 total population;1,2
19335;WHO Regions;amr;Region of the Americas;1994;NTETANUS;per 1000 live births;0,0
19336;WHO Regions;amr;Region of the Americas;1994;POLIO;per 1,000,000 <15 population;0,0
19337;WHO Regions;amr;Region of the Americas;1994;PERTUSSIS;per 1,000,000 total population;36,7
19338;WHO Regions;amr;Region of the Americas;1994;YFEVER;per 1,000,000 total population;0,4
19339;WHO Regions;amr;Region of the Americas;1994;MEASLES;per 1,000,000 total population;31,6
19340;WHO Regions;amr;Region of the Americas;1994;TTETANUS;per 1,000,000 total population;2,7
19684;WHO Regions;emr;Eastern Mediterranean Region;1994;DIPHTHERIA;per 1,000,000 total population;0,8
19685;WHO Regions;emr;Eastern Mediterranean Region;1994;TTETANUS;per 1,000,000 total population;10,8
19686;WHO Regions;emr;Eastern Mediterranean Region;1994;MEASLES;per 1,000,000 total population;63,5
19687;WHO Regions;emr;Eastern Mediterranean Region;1994;PERTUSSIS;per 1,000,000 total population;4,4
19688;WHO Regions;emr;Eastern Mediterranean Region;1994;NTETANUS;per 1000 live births;0,2
19689;WHO Regions;emr;Eastern Mediterranean Region;1994;YFEVER;per 1,000,000 total population;
19690;WHO Regions;emr;Eastern Mediterranean Region;1994;POLIO;per 1,000,000 <15 population;6,2
19719;WHO Regions;eur;European Region;1994;DIPHTHERIA;per 1,000,000 total population;55,8
19720;WHO Regions;eur;European Region;1994;YFEVER;per 1,000,000 total population;
19721;WHO Regions;eur;European Region;1994;MEASLES;per 1,000,000 total population;248,3
19722;WHO Regions;eur;European Region;1994;POLIO;per 1,000,000 <15 population;1,3
19723;WHO Regions;eur;European Region;1994;PERTUSSIS;per 1,000,000 total population;174,7
19724;WHO Regions;eur;European Region;1994;NTETANUS;per 1000 live births;0,0
19725;WHO Regions;eur;European Region;1994;TTETANUS;per 1,000,000 total population;0,9
20384;WHO Regions;sear;South-East Asia Region;1994;POLIO;per 1,000,000 <15 population;10,0
20385;WHO Regions;sear;South-East Asia Region;1994;NTETANUS;per 1000 live births;0,1
20386;WHO Regions;sear;South-East Asia Region;1994;PERTUSSIS;per 1,000,000 total population;37,9
20387;WHO Regions;sear;South-East Asia Region;1994;TTETANUS;per 1,000,000 total population;29,9
20388;WHO Regions;sear;South-East Asia Region;1994;DIPHTHERIA;per 1,000,000 total population;2,5
20389;WHO Regions;sear;South-East Asia Region;1994;MEASLES;per 1,000,000 total population;107,4
20390;WHO Regions;sear;South-East Asia Region;1994;YFEVER;per 1,000,000 total population;
20643;WHO Regions;wpr;Western Pacific Region;1994;DIPHTHERIA;per 1,000,000 total population;0,6
20644;WHO Regions;wpr;Western Pacific Region;1994;TTETANUS;per 1,000,000 total population;14,6
20645;WHO Regions;wpr;Western Pacific Region;1994;MEASLES;per 1,000,000 total population;77,6
20646;WHO Regions;wpr;Western Pacific Region;1994;YFEVER;per 1,000,000 total population;
20647;WHO Regions;wpr;Western Pacific Region;1994;PERTUSSIS;per 1,000,000 total population;13,2
20648;WHO Regions;wpr;Western Pacific Region;1994;NTETANUS;per 1000 live births;0,2
20649;WHO Regions;wpr;Western Pacific Region;1994;POLIO;per 1,000,000 <15 population;1,6
20692;WHO Regions;afr;African Region;1995;PERTUSSIS;per 1,000,000 total population;71,5
20693;WHO Regions;afr;African Region;1995;TTETANUS;per 1,000,000 total population;8,8
20694;WHO Regions;afr;African Region;1995;MEASLES;per 1,000,000 total population;641,6
20695;WHO Regions;afr;African Region;1995;DIPHTHERIA;per 1,000,000 total population;1,1
20696;WHO Regions;afr;African Region;1995;NTETANUS;per 1000 live births;0,1
20697;WHO Regions;afr;African Region;1995;POLIO;per 1,000,000 <15 population;9,0
20698;WHO Regions;afr;African Region;1995;YFEVER;per 1,000,000 total population;4,7
20713;WHO Regions;amr;Region of the Americas;1995;YFEVER;per 1,000,000 total population;2,0
20714;WHO Regions;amr;Region of the Americas;1995;MEASLES;per 1,000,000 total population;8,5
20715;WHO Regions;amr;Region of the Americas;1995;NTETANUS;per 1000 live births;0,0
20716;WHO Regions;amr;Region of the Americas;1995;PERTUSSIS;per 1,000,000 total population;30,2
20717;WHO Regions;amr;Region of the Americas;1995;TTETANUS;per 1,000,000 total population;2,3
20718;WHO Regions;amr;Region of the Americas;1995;POLIO;per 1,000,000 <15 population;0,0
20719;WHO Regions;amr;Region of the Americas;1995;DIPHTHERIA;per 1,000,000 total population;0,5
21063;WHO Regions;emr;Eastern Mediterranean Region;1995;DIPHTHERIA;per 1,000,000 total population;0,8
21064;WHO Regions;emr;Eastern Mediterranean Region;1995;POLIO;per 1,000,000 <15 population;4,5
21065;WHO Regions;emr;Eastern Mediterranean Region;1995;PERTUSSIS;per 1,000,000 total population;9,2
21066;WHO Regions;emr;Eastern Mediterranean Region;1995;MEASLES;per 1,000,000 total population;52,6
21067;WHO Regions;emr;Eastern Mediterranean Region;1995;TTETANUS;per 1,000,000 total population;8,8
21068;WHO Regions;emr;Eastern Mediterranean Region;1995;NTETANUS;per 1000 live births;0,2
21069;WHO Regions;emr;Eastern Mediterranean Region;1995;YFEVER;per 1,000,000 total population;
21098;WHO Regions;eur;European Region;1995;PERTUSSIS;per 1,000,000 total population;109,9
21099;WHO Regions;eur;European Region;1995;POLIO;per 1,000,000 <15 population;1,2
21100;WHO Regions;eur;European Region;1995;YFEVER;per 1,000,000 total population;
21101;WHO Regions;eur;European Region;1995;NTETANUS;per 1000 live births;0,0
21102;WHO Regions;eur;European Region;1995;MEASLES;per 1,000,000 total population;200,0
21103;WHO Regions;eur;European Region;1995;DIPHTHERIA;per 1,000,000 total population;58,7
21104;WHO Regions;eur;European Region;1995;TTETANUS;per 1,000,000 total population;0,8
21763;WHO Regions;sear;South-East Asia Region;1995;DIPHTHERIA;per 1,000,000 total population;3,5
21764;WHO Regions;sear;South-East Asia Region;1995;TTETANUS;per 1,000,000 total population;16,4
21765;WHO Regions;sear;South-East Asia Region;1995;POLIO;per 1,000,000 <15 population;6,5
21766;WHO Regions;sear;South-East Asia Region;1995;NTETANUS;per 1000 live births;0,1
21767;WHO Regions;sear;South-East Asia Region;1995;MEASLES;per 1,000,000 total population;70,0
21768;WHO Regions;sear;South-East Asia Region;1995;YFEVER;per 1,000,000 total population;
21769;WHO Regions;sear;South-East Asia Region;1995;PERTUSSIS;per 1,000,000 total population;19,1
22022;WHO Regions;wpr;Western Pacific Region;1995;MEASLES;per 1,000,000 total population;50,3
22023;WHO Regions;wpr;Western Pacific Region;1995;TTETANUS;per 1,000,000 total population;11,3
22024;WHO Regions;wpr;Western Pacific Region;1995;POLIO;per 1,000,000 <15 population;1,1
22025;WHO Regions;wpr;Western Pacific Region;1995;YFEVER;per 1,000,000 total population;
22026;WHO Regions;wpr;Western Pacific Region;1995;PERTUSSIS;per 1,000,000 total population;10,1
22027;WHO Regions;wpr;Western Pacific Region;1995;NTETANUS;per 1000 live births;0,1
22028;WHO Regions;wpr;Western Pacific Region;1995;DIPHTHERIA;per 1,000,000 total population;0,4
22071;WHO Regions;afr;African Region;1996;DIPHTHERIA;per 1,000,000 total population;7,0
22072;WHO Regions;afr;African Region;1996;MEASLES;per 1,000,000 total population;833,1
22073;WHO Regions;afr;African Region;1996;TTETANUS;per 1,000,000 total population;12,4
22074;WHO Regions;afr;African Region;1996;PERTUSSIS;per 1,000,000 total population;90,3
22075;WHO Regions;afr;African Region;1996;POLIO;per 1,000,000 <15 population;7,5
22076;WHO Regions;afr;African Region;1996;NTETANUS;per 1000 live births;0,2
22077;WHO Regions;afr;African Region;1996;YFEVER;per 1,000,000 total population;1,1
22092;WHO Regions;amr;Region of the Americas;1996;TTETANUS;per 1,000,000 total population;2,9
22093;WHO Regions;amr;Region of the Americas;1996;DIPHTHERIA;per 1,000,000 total population;0,3
22094;WHO Regions;amr;Region of the Americas;1996;POLIO;per 1,000,000 <15 population;0,0
22095;WHO Regions;amr;Region of the Americas;1996;PERTUSSIS;per 1,000,000 total population;23,1
22096;WHO Regions;amr;Region of the Americas;1996;NTETANUS;per 1000 live births;0,0
22097;WHO Regions;amr;Region of the Americas;1996;YFEVER;per 1,000,000 total population;0,6
22098;WHO Regions;amr;Region of the Americas;1996;MEASLES;per 1,000,000 total population;2,4
22442;WHO Regions;emr;Eastern Mediterranean Region;1996;MEASLES;per 1,000,000 total population;51,5
22443;WHO Regions;emr;Eastern Mediterranean Region;1996;POLIO;per 1,000,000 <15 population;3,2
22444;WHO Regions;emr;Eastern Mediterranean Region;1996;YFEVER;per 1,000,000 total population;
22445;WHO Regions;emr;Eastern Mediterranean Region;1996;TTETANUS;per 1,000,000 total population;10,4
22446;WHO Regions;emr;Eastern Mediterranean Region;1996;PERTUSSIS;per 1,000,000 total population;7,3
22447;WHO Regions;emr;Eastern Mediterranean Region;1996;DIPHTHERIA;per 1,000,000 total population;1,4
22448;WHO Regions;emr;Eastern Mediterranean Region;1996;NTETANUS;per 1000 live births;0,2
22477;WHO Regions;eur;European Region;1996;POLIO;per 1,000,000 <15 population;1,1
22478;WHO Regions;eur;European Region;1996;TTETANUS;per 1,000,000 total population;0,7
22479;WHO Regions;eur;European Region;1996;DIPHTHERIA;per 1,000,000 total population;23,7
22480;WHO Regions;eur;European Region;1996;NTETANUS;per 1000 live births;0,0
22481;WHO Regions;eur;European Region;1996;YFEVER;per 1,000,000 total population;
22482;WHO Regions;eur;European Region;1996;MEASLES;per 1,000,000 total population;232,2
22483;WHO Regions;eur;European Region;1996;PERTUSSIS;per 1,000,000 total population;70,5
23142;WHO Regions;sear;South-East Asia Region;1996;DIPHTHERIA;per 1,000,000 total population;3,2
23143;WHO Regions;sear;South-East Asia Region;1996;TTETANUS;per 1,000,000 total population;28,6
23144;WHO Regions;sear;South-East Asia Region;1996;NTETANUS;per 1000 live births;0,1
23145;WHO Regions;sear;South-East Asia Region;1996;PERTUSSIS;per 1,000,000 total population;52,8
23146;WHO Regions;sear;South-East Asia Region;1996;MEASLES;per 1,000,000 total population;69,6
23147;WHO Regions;sear;South-East Asia Region;1996;YFEVER;per 1,000,000 total population;
23148;WHO Regions;sear;South-East Asia Region;1996;POLIO;per 1,000,000 <15 population;2,3
23401;WHO Regions;wpr;Western Pacific Region;1996;POLIO;per 1,000,000 <15 population;0,4
23402;WHO Regions;wpr;Western Pacific Region;1996;NTETANUS;per 1000 live births;0,1
23403;WHO Regions;wpr;Western Pacific Region;1996;DIPHTHERIA;per 1,000,000 total population;1,7
23404;WHO Regions;wpr;Western Pacific Region;1996;YFEVER;per 1,000,000 total population;0,0
23405;WHO Regions;wpr;Western Pacific Region;1996;PERTUSSIS;per 1,000,000 total population;26,5
23406;WHO Regions;wpr;Western Pacific Region;1996;MEASLES;per 1,000,000 total population;52,8
23407;WHO Regions;wpr;Western Pacific Region;1996;TTETANUS;per 1,000,000 total population;4,0
23450;WHO Regions;afr;African Region;1997;TTETANUS;per 1,000,000 total population;10,6
23451;WHO Regions;afr;African Region;1997;MEASLES;per 1,000,000 total population;495,3
23452;WHO Regions;afr;African Region;1997;POLIO;per 1,000,000 <15 population;4,1
23453;WHO Regions;afr;African Region;1997;YFEVER;per 1,000,000 total population;0,1
23454;WHO Regions;afr;African Region;1997;PERTUSSIS;per 1,000,000 total population;50,1
23455;WHO Regions;afr;African Region;1997;NTETANUS;per 1000 live births;0,1
23456;WHO Regions;afr;African Region;1997;DIPHTHERIA;per 1,000,000 total population;0,5
23471;WHO Regions;amr;Region of the Americas;1997;CRS;per 10,000 live births;0,1
23472;WHO Regions;amr;Region of the Americas;1997;DIPHTHERIA;per 1,000,000 total population;0,1
23473;WHO Regions;amr;Region of the Americas;1997;MEASLES;per 1,000,000 total population;67,4
23474;WHO Regions;amr;Region of the Americas;1997;PERTUSSIS;per 1,000,000 total population;22,1
23475;WHO Regions;amr;Region of the Americas;1997;POLIO;per 1,000,000 <15 population;0,0
23476;WHO Regions;amr;Region of the Americas;1997;NTETANUS;per 1000 live births;0,0
23477;WHO Regions;amr;Region of the Americas;1997;YFEVER;per 1,000,000 total population;0,3
23478;WHO Regions;amr;Region of the Americas;1997;TTETANUS;per 1,000,000 total population;0,9
23479;WHO Regions;amr;Region of the Americas;1997;RUBELLA;per 1,000,000 total population;166,1
23842;WHO Regions;emr;Eastern Mediterranean Region;1997;POLIO;per 1,000,000 <15 population;6,9
23843;WHO Regions;emr;Eastern Mediterranean Region;1997;YFEVER;per 1,000,000 total population;
23844;WHO Regions;emr;Eastern Mediterranean Region;1997;NTETANUS;per 1000 live births;0,2
23845;WHO Regions;emr;Eastern Mediterranean Region;1997;PERTUSSIS;per 1,000,000 total population;8,0
23846;WHO Regions;emr;Eastern Mediterranean Region;1997;MEASLES;per 1,000,000 total population;79,7
23847;WHO Regions;emr;Eastern Mediterranean Region;1997;DIPHTHERIA;per 1,000,000 total population;1,1
23848;WHO Regions;emr;Eastern Mediterranean Region;1997;TTETANUS;per 1,000,000 total population;10,0
23877;WHO Regions;eur;European Region;1997;POLIO;per 1,000,000 <15 population;0,0
23878;WHO Regions;eur;European Region;1997;MEASLES;per 1,000,000 total population;276,3
23879;WHO Regions;eur;European Region;1997;TTETANUS;per 1,000,000 total population;0,6
23880;WHO Regions;eur;European Region;1997;YFEVER;per 1,000,000 total population;
23881;WHO Regions;eur;European Region;1997;PERTUSSIS;per 1,000,000 total population;93,6
23882;WHO Regions;eur;European Region;1997;NTETANUS;per 1000 live births;0,0
23883;WHO Regions;eur;European Region;1997;DIPHTHERIA;per 1,000,000 total population;9,6
24544;WHO Regions;sear;South-East Asia Region;1997;NTETANUS;per 1000 live births;0,1
24545;WHO Regions;sear;South-East Asia Region;1997;MEASLES;per 1,000,000 total population;77,6
24546;WHO Regions;sear;South-East Asia Region;1997;PERTUSSIS;per 1,000,000 total population;28,1
24547;WHO Regions;sear;South-East Asia Region;1997;DIPHTHERIA;per 1,000,000 total population;4,4
24548;WHO Regions;sear;South-East Asia Region;1997;TTETANUS;per 1,000,000 total population;9,2
24549;WHO Regions;sear;South-East Asia Region;1997;POLIO;per 1,000,000 <15 population;5,4
24550;WHO Regions;sear;South-East Asia Region;1997;YFEVER;per 1,000,000 total population;
24812;WHO Regions;wpr;Western Pacific Region;1997;YFEVER;per 1,000,000 total population;
24813;WHO Regions;wpr;Western Pacific Region;1997;MEASLES;per 1,000,000 total population;70,3
24814;WHO Regions;wpr;Western Pacific Region;1997;DIPHTHERIA;per 1,000,000 total population;0,3
24815;WHO Regions;wpr;Western Pacific Region;1997;POLIO;per 1,000,000 <15 population;0,0
24816;WHO Regions;wpr;Western Pacific Region;1997;NTETANUS;per 1000 live births;0,2
24817;WHO Regions;wpr;Western Pacific Region;1997;PERTUSSIS;per 1,000,000 total population;16,9
24818;WHO Regions;wpr;Western Pacific Region;1997;TTETANUS;per 1,000,000 total population;8,2
24861;WHO Regions;afr;African Region;1998;PERTUSSIS;per 1,000,000 total population;82,4
24862;WHO Regions;afr;African Region;1998;YFEVER;per 1,000,000 total population;0,1
24863;WHO Regions;afr;African Region;1998;DIPHTHERIA;per 1,000,000 total population;2,3
24864;WHO Regions;afr;African Region;1998;NTETANUS;per 1000 live births;0,2
24865;WHO Regions;afr;African Region;1998;TTETANUS;per 1,000,000 total population;10,2
24866;WHO Regions;afr;African Region;1998;MEASLES;per 1,000,000 total population;641,1
24867;WHO Regions;afr;African Region;1998;POLIO;per 1,000,000 <15 population;3,6
24882;WHO Regions;amr;Region of the Americas;1998;CRS;per 10,000 live births;0,0
24883;WHO Regions;amr;Region of the Americas;1998;RUBELLA;per 1,000,000 total population;170,9
24884;WHO Regions;amr;Region of the Americas;1998;YFEVER;per 1,000,000 total population;0,4
24885;WHO Regions;amr;Region of the Americas;1998;DIPHTHERIA;per 1,000,000 total population;0,3
24886;WHO Regions;amr;Region of the Americas;1998;TTETANUS;per 1,000,000 total population;2,8
24887;WHO Regions;amr;Region of the Americas;1998;POLIO;per 1,000,000 <15 population;0,0
24888;WHO Regions;amr;Region of the Americas;1998;MEASLES;per 1,000,000 total population;17,8
24889;WHO Regions;amr;Region of the Americas;1998;PERTUSSIS;per 1,000,000 total population;33,5
24890;WHO Regions;amr;Region of the Americas;1998;NTETANUS;per 1000 live births;0,1
25249;WHO Regions;emr;Eastern Mediterranean Region;1998;DIPHTHERIA;per 1,000,000 total population;0,9
25250;WHO Regions;emr;Eastern Mediterranean Region;1998;NTETANUS;per 1000 live births;0,2
25251;WHO Regions;emr;Eastern Mediterranean Region;1998;MEASLES;per 1,000,000 total population;197,5
25252;WHO Regions;emr;Eastern Mediterranean Region;1998;TTETANUS;per 1,000,000 total population;9,3
25253;WHO Regions;emr;Eastern Mediterranean Region;1998;POLIO;per 1,000,000 <15 population;3,0
25254;WHO Regions;emr;Eastern Mediterranean Region;1998;PERTUSSIS;per 1,000,000 total population;10,0
25255;WHO Regions;emr;Eastern Mediterranean Region;1998;YFEVER;per 1,000,000 total population;0,0
25284;WHO Regions;eur;European Region;1998;DIPHTHERIA;per 1,000,000 total population;3,5
25285;WHO Regions;eur;European Region;1998;YFEVER;per 1,000,000 total population;0,0
25286;WHO Regions;eur;European Region;1998;TTETANUS;per 1,000,000 total population;0,6
25287;WHO Regions;eur;European Region;1998;POLIO;per 1,000,000 <15 population;0,1
25288;WHO Regions;eur;European Region;1998;MEASLES;per 1,000,000 total population;110,9
25289;WHO Regions;eur;European Region;1998;NTETANUS;per 1000 live births;0,0
25290;WHO Regions;eur;European Region;1998;PERTUSSIS;per 1,000,000 total population;81,4
25932;WHO Regions;sear;South-East Asia Region;1998;TTETANUS;per 1,000,000 total population;7,6
25933;WHO Regions;sear;South-East Asia Region;1998;MEASLES;per 1,000,000 total population;41,3
25934;WHO Regions;sear;South-East Asia Region;1998;DIPHTHERIA;per 1,000,000 total population;1,4
25935;WHO Regions;sear;South-East Asia Region;1998;POLIO;per 1,000,000 <15 population;9,1
25936;WHO Regions;sear;South-East Asia Region;1998;PERTUSSIS;per 1,000,000 total population;35,5
25937;WHO Regions;sear;South-East Asia Region;1998;YFEVER;per 1,000,000 total population;0,0
25938;WHO Regions;sear;South-East Asia Region;1998;NTETANUS;per 1000 live births;0,1
26192;WHO Regions;wpr;Western Pacific Region;1998;POLIO;per 1,000,000 <15 population;0,0
26193;WHO Regions;wpr;Western Pacific Region;1998;NTETANUS;per 1000 live births;0,2
26194;WHO Regions;wpr;Western Pacific Region;1998;MEASLES;per 1,000,000 total population;46,0
26195;WHO Regions;wpr;Western Pacific Region;1998;YFEVER;per 1,000,000 total population;0,0
26196;WHO Regions;wpr;Western Pacific Region;1998;DIPHTHERIA;per 1,000,000 total population;0,6
26197;WHO Regions;wpr;Western Pacific Region;1998;TTETANUS;per 1,000,000 total population;3,8
26198;WHO Regions;wpr;Western Pacific Region;1998;PERTUSSIS;per 1,000,000 total population;9,5
26238;WHO Regions;afr;African Region;1999;MEASLES;per 1,000,000 total population;770,9
26239;WHO Regions;afr;African Region;1999;TTETANUS;per 1,000,000 total population;7,7
26240;WHO Regions;afr;African Region;1999;CRS;per 10,000 live births;0,0
26241;WHO Regions;afr;African Region;1999;PERTUSSIS;per 1,000,000 total population;27,0
26242;WHO Regions;afr;African Region;1999;DIPHTHERIA;per 1,000,000 total population;0,7
26243;WHO Regions;afr;African Region;1999;RUBELLA;per 1,000,000 total population;0,6
26244;WHO Regions;afr;African Region;1999;POLIO;per 1,000,000 <15 population;10,2
26245;WHO Regions;afr;African Region;1999;NTETANUS;per 1000 live births;0,1
26246;WHO Regions;afr;African Region;1999;MUMPS;per 1,000,000 total population;167,0
26247;WHO Regions;afr;African Region;1999;YFEVER;per 1,000,000 total population;0,0
26268;WHO Regions;amr;Region of the Americas;1999;NTETANUS;per 1000 live births;0,0
26269;WHO Regions;amr;Region of the Americas;1999;MEASLES;per 1,000,000 total population;3,9
26270;WHO Regions;amr;Region of the Americas;1999;YFEVER;per 1,000,000 total population;0,6
26271;WHO Regions;amr;Region of the Americas;1999;RUBELLA;per 1,000,000 total population;75,7
26272;WHO Regions;amr;Region of the Americas;1999;MUMPS;per 1,000,000 total population;322,4
26273;WHO Regions;amr;Region of the Americas;1999;PERTUSSIS;per 1,000,000 total population;27,8
26274;WHO Regions;amr;Region of the Americas;1999;POLIO;per 1,000,000 <15 population;0,0
26275;WHO Regions;amr;Region of the Americas;1999;TTETANUS;per 1,000,000 total population;1,3
26276;WHO Regions;amr;Region of the Americas;1999;DIPHTHERIA;per 1,000,000 total population;0,1
26277;WHO Regions;amr;Region of the Americas;1999;CRS;per 10,000 live births;0,0
26772;WHO Regions;emr;Eastern Mediterranean Region;1999;MUMPS;per 1,000,000 total population;851,3
26773;WHO Regions;emr;Eastern Mediterranean Region;1999;DIPHTHERIA;per 1,000,000 total population;1,1
26774;WHO Regions;emr;Eastern Mediterranean Region;1999;POLIO;per 1,000,000 <15 population;4,9
26775;WHO Regions;emr;Eastern Mediterranean Region;1999;CRS;per 10,000 live births;0,0
26776;WHO Regions;emr;Eastern Mediterranean Region;1999;YFEVER;per 1,000,000 total population;0,0
26777;WHO Regions;emr;Eastern Mediterranean Region;1999;MEASLES;per 1,000,000 total population;156,4
26778;WHO Regions;emr;Eastern Mediterranean Region;1999;PERTUSSIS;per 1,000,000 total population;6,5
26779;WHO Regions;emr;Eastern Mediterranean Region;1999;NTETANUS;per 1000 live births;0,2
26780;WHO Regions;emr;Eastern Mediterranean Region;1999;TTETANUS;per 1,000,000 total population;7,1
26781;WHO Regions;emr;Eastern Mediterranean Region;1999;RUBELLA;per 1,000,000 total population;40,2
26822;WHO Regions;eur;European Region;1999;PERTUSSIS;per 1,000,000 total population;77,5
26823;WHO Regions;eur;European Region;1999;CRS;per 10,000 live births;0,0
26824;WHO Regions;eur;European Region;1999;YFEVER;per 1,000,000 total population;0,0
26825;WHO Regions;eur;European Region;1999;NTETANUS;per 1000 live births;0,0
26826;WHO Regions;eur;European Region;1999;TTETANUS;per 1,000,000 total population;0,6
26827;WHO Regions;eur;European Region;1999;DIPHTHERIA;per 1,000,000 total population;2,3
26828;WHO Regions;eur;European Region;1999;MEASLES;per 1,000,000 total population;61,5
26829;WHO Regions;eur;European Region;1999;MUMPS;per 1,000,000 total population;716,2
26830;WHO Regions;eur;European Region;1999;POLIO;per 1,000,000 <15 population;0,0
26831;WHO Regions;eur;European Region;1999;RUBELLA;per 1,000,000 total population;1452,9
27724;WHO Regions;sear;South-East Asia Region;1999;TTETANUS;per 1,000,000 total population;4,3
27725;WHO Regions;sear;South-East Asia Region;1999;MEASLES;per 1,000,000 total population;31,4
27726;WHO Regions;sear;South-East Asia Region;1999;MUMPS;per 1,000,000 total population;420,0
27727;WHO Regions;sear;South-East Asia Region;1999;NTETANUS;per 1000 live births;0,0
27728;WHO Regions;sear;South-East Asia Region;1999;YFEVER;per 1,000,000 total population;0,0
27729;WHO Regions;sear;South-East Asia Region;1999;PERTUSSIS;per 1,000,000 total population;8,4
27730;WHO Regions;sear;South-East Asia Region;1999;RUBELLA;per 1,000,000 total population;62,5
27731;WHO Regions;sear;South-East Asia Region;1999;CRS;per 10,000 live births;0,5
27732;WHO Regions;sear;South-East Asia Region;1999;DIPHTHERIA;per 1,000,000 total population;1,4
27733;WHO Regions;sear;South-East Asia Region;1999;POLIO;per 1,000,000 <15 population;6,4
28076;WHO Regions;wpr;Western Pacific Region;1999;POLIO;per 1,000,000 <15 population;0,0
28077;WHO Regions;wpr;Western Pacific Region;1999;MUMPS;per 1,000,000 total population;231,0
28078;WHO Regions;wpr;Western Pacific Region;1999;RUBELLA;per 1,000,000 total population;8,3
28079;WHO Regions;wpr;Western Pacific Region;1999;CRS;per 10,000 live births;0,2
28080;WHO Regions;wpr;Western Pacific Region;1999;YFEVER;per 1,000,000 total population;0,0
28081;WHO Regions;wpr;Western Pacific Region;1999;PERTUSSIS;per 1,000,000 total population;11,9
28082;WHO Regions;wpr;Western Pacific Region;1999;NTETANUS;per 1000 live births;0,2
28083;WHO Regions;wpr;Western Pacific Region;1999;MEASLES;per 1,000,000 total population;69,1
28084;WHO Regions;wpr;Western Pacific Region;1999;DIPHTHERIA;per 1,000,000 total population;0,1
28085;WHO Regions;wpr;Western Pacific Region;1999;TTETANUS;per 1,000,000 total population;11,7
28146;WHO Regions;afr;African Region;2000;DIPHTHERIA;per 1,000,000 total population;10,5
28147;WHO Regions;afr;African Region;2000;NTETANUS;per 1000 live births;0,2
28148;WHO Regions;afr;African Region;2000;YFEVER;per 1,000,000 total population;1,3
28149;WHO Regions;afr;African Region;2000;PERTUSSIS;per 1,000,000 total population;116,3
28150;WHO Regions;afr;African Region;2000;MEASLES;per 1,000,000 total population;841,7
28151;WHO Regions;afr;African Region;2000;POLIO;per 1,000,000 <15 population;6,4
